Date;Year;Month_Number;Month_Name;Month_Name_FR;Quarter_Number;Quarter_Label;PI_Planning;Week_Number;Day_Number;Day_Name;Day_Name_FR;Day_Of_Week;Is_Weekend;Is_Weekday;Semester;Year_Month;Year_Week
03/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;27;3;Thursday;Jeudi;4;NO;YES;S2;2025-07;2025-W27
04/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;27;4;Friday;Vendredi;5;NO;YES;S2;2025-07;2025-W27
05/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;27;5;Saturday;Samedi;6;YES;NO;S2;2025-07;2025-W27
06/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;27;6;Sunday;Dimanche;7;YES;NO;S2;2025-07;2025-W27
07/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;28;7;Monday;Lundi;1;NO;YES;S2;2025-07;2025-W28
08/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;28;8;Tuesday;Mardi;2;NO;YES;S2;2025-07;2025-W28
09/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;28;9;Wednesday;Mercredi;3;NO;YES;S2;2025-07;2025-W28
10/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;28;10;Thursday;Jeudi;4;NO;YES;S2;2025-07;2025-W28
11/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;28;11;Friday;Vendredi;5;NO;YES;S2;2025-07;2025-W28
12/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;28;12;Saturday;Samedi;6;YES;NO;S2;2025-07;2025-W28
13/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;28;13;Sunday;Dimanche;7;YES;NO;S2;2025-07;2025-W28
14/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;29;14;Monday;Lundi;1;NO;YES;S2;2025-07;2025-W29
15/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;29;15;Tuesday;Mardi;2;NO;YES;S2;2025-07;2025-W29
16/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;29;16;Wednesday;Mercredi;3;NO;YES;S2;2025-07;2025-W29
17/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;29;17;Thursday;Jeudi;4;NO;YES;S2;2025-07;2025-W29
18/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;29;18;Friday;Vendredi;5;NO;YES;S2;2025-07;2025-W29
19/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;29;19;Saturday;Samedi;6;YES;NO;S2;2025-07;2025-W29
20/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;29;20;Sunday;Dimanche;7;YES;NO;S2;2025-07;2025-W29
21/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;30;21;Monday;Lundi;1;NO;YES;S2;2025-07;2025-W30
22/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;30;22;Tuesday;Mardi;2;NO;YES;S2;2025-07;2025-W30
23/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;30;23;Wednesday;Mercredi;3;NO;YES;S2;2025-07;2025-W30
24/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;30;24;Thursday;Jeudi;4;NO;YES;S2;2025-07;2025-W30
25/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;30;25;Friday;Vendredi;5;NO;YES;S2;2025-07;2025-W30
26/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;30;26;Saturday;Samedi;6;YES;NO;S2;2025-07;2025-W30
27/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;30;27;Sunday;Dimanche;7;YES;NO;S2;2025-07;2025-W30
28/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;31;28;Monday;Lundi;1;NO;YES;S2;2025-07;2025-W31
29/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;31;29;Tuesday;Mardi;2;NO;YES;S2;2025-07;2025-W31
30/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;31;30;Wednesday;Mercredi;3;NO;YES;S2;2025-07;2025-W31
31/07/2025;2025;7;July;Juillet;3;Q3 2025;2025 - Q3 - DPF - PI Planning;31;31;Thursday;Jeudi;4;NO;YES;S2;2025-07;2025-W31
01/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;31;1;Friday;Vendredi;5;NO;YES;S2;2025-08;2025-W31
02/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;31;2;Saturday;Samedi;6;YES;NO;S2;2025-08;2025-W31
03/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;31;3;Sunday;Dimanche;7;YES;NO;S2;2025-08;2025-W31
04/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;32;4;Monday;Lundi;1;NO;YES;S2;2025-08;2025-W32
05/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;32;5;Tuesday;Mardi;2;NO;YES;S2;2025-08;2025-W32
06/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;32;6;Wednesday;Mercredi;3;NO;YES;S2;2025-08;2025-W32
07/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;32;7;Thursday;Jeudi;4;NO;YES;S2;2025-08;2025-W32
08/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;32;8;Friday;Vendredi;5;NO;YES;S2;2025-08;2025-W32
09/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;32;9;Saturday;Samedi;6;YES;NO;S2;2025-08;2025-W32
10/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;32;10;Sunday;Dimanche;7;YES;NO;S2;2025-08;2025-W32
11/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;33;11;Monday;Lundi;1;NO;YES;S2;2025-08;2025-W33
12/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;33;12;Tuesday;Mardi;2;NO;YES;S2;2025-08;2025-W33
13/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;33;13;Wednesday;Mercredi;3;NO;YES;S2;2025-08;2025-W33
14/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;33;14;Thursday;Jeudi;4;NO;YES;S2;2025-08;2025-W33
15/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;33;15;Friday;Vendredi;5;NO;YES;S2;2025-08;2025-W33
16/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;33;16;Saturday;Samedi;6;YES;NO;S2;2025-08;2025-W33
17/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;33;17;Sunday;Dimanche;7;YES;NO;S2;2025-08;2025-W33
18/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;34;18;Monday;Lundi;1;NO;YES;S2;2025-08;2025-W34
19/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;34;19;Tuesday;Mardi;2;NO;YES;S2;2025-08;2025-W34
20/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;34;20;Wednesday;Mercredi;3;NO;YES;S2;2025-08;2025-W34
